===== 地面终端经纬度分组记录 =====
总分组数: 4

--- 节点3 终端分组 ---
终端数量: 250
经纬度列表:
  终端1: 经度=121.473700, 纬度=31.230400
  终端2: 经度=116.407400, 纬度=39.904200
  终端3: 经度=-74.006000, 纬度=40.712800
  终端4: 经度=-0.127800, 纬度=51.507400
  终端5: 经度=139.691700, 纬度=35.689500
  终端6: 经度=51.726797, 纬度=-0.813242
  终端7: 经度=179.677335, 纬度=51.002152
  终端8: 经度=99.600290, 纬度=-59.768880
  终端9: 经度=-94.893794, 纬度=-49.036231
  终端10: 经度=-144.210201, 纬度=12.021920
  终端11: 经度=-95.928421, 纬度=-7.414567
  终端12: 经度=-120.852602, 纬度=-10.023677
  终端13: 经度=-50.130508, 纬度=39.740341
  终端14: 经度=-67.971729, 纬度=-27.768505
  终端15: 经度=67.226997, 纬度=-33.406865
  终端16: 经度=24.330786, 纬度=19.773532
  终端17: 经度=-130.864637, 纬度=57.891071
  终端18: 经度=-145.893732, 纬度=-44.912446
  终端19: 经度=72.691372, 纬度=-45.894740
  终端20: 经度=-89.273916, 纬度=-10.290103
  终端21: 经度=111.425013, 纬度=26.522647
  终端22: 经度=-50.913879, 纬度=-13.215741
  终端23: 经度=176.699985, 纬度=-39.594987
  终端24: 经度=135.519343, 纬度=-48.869611
  终端25: 经度=1.637271, 纬度=-8.670699
  终端26: 经度=151.443410, 纬度=18.558869
  终端27: 经度=50.664252, 纬度=24.187194
  终端28: 经度=137.015425, 纬度=-49.076824
  终端29: 经度=-141.170508, 纬度=27.145070
  终端30: 经度=-26.435135, 纬度=21.407540
  终端31: 经度=176.539460, 纬度=55.845604
  终端32: 经度=-138.080840, 纬度=-51.631588
  终端33: 经度=53.466742, 纬度=54.717652
  终端34: 经度=-114.302594, 纬度=51.861474
  终端35: 经度=86.169904, 纬度=-51.924231
  终端36: 经度=66.531548, 纬度=-23.437064
  终端37: 经度=27.887675, 纬度=33.080071
  终端38: 经度=-45.420808, 纬度=-26.480525
  终端39: 经度=-8.132621, 纬度=31.982072
  终端40: 经度=164.870865, 纬度=30.809185
  终端41: 经度=-74.399750, 纬度=-16.831952
  终端42: 经度=117.571957, 纬度=5.786170
  终端43: 经度=-45.227210, 纬度=-53.610355
  终端44: 经度=-58.865573, 纬度=22.852272
  终端45: 经度=-44.272516, 纬度=-4.032578
  终端46: 经度=-47.274196, 纬度=-39.541811
  终端47: 经度=27.703977, 纬度=1.711374
  终端48: 经度=-105.305581, 纬度=-44.638065
  终端49: 经度=-73.055165, 纬度=-42.375295
  终端50: 经度=-14.080489, 纬度=-12.199037
  终端51: 经度=-28.275713, 纬度=35.560873
  终端52: 经度=-12.885262, 纬度=-32.941056
  终端53: 经度=150.439075, 纬度=-32.406417
  终端54: 经度=101.494411, 纬度=-34.432666
  终端55: 经度=129.072166, 纬度=11.281971
  终端56: 经度=-33.391286, 纬度=-45.736564
  终端57: 经度=-49.378979, 纬度=41.282446
  终端58: 经度=62.874892, 纬度=43.871509
  终端59: 经度=-40.696812, 纬度=-43.585357
  终端60: 经度=128.594217, 纬度=16.157250
  终端61: 经度=-111.915665, 纬度=-29.669012
  终端62: 经度=-90.298329, 纬度=-54.725387
  终端63: 经度=-8.656868, 纬度=-26.031940
  终端64: 经度=-50.483265, 纬度=30.508745
  终端65: 经度=59.898185, 纬度=-55.356663
  终端66: 经度=32.768983, 纬度=11.030647
